Instancia,Heuristica,Operadores,Costo,Valido,Tiempo(ms)
E016-03m.dat,cw,,326.284,SI,6.215
E016-03m.dat,cw,relocate,286.347,SI,2.702
E016-03m.dat,cw,swap,326.284,SI,2.799
E016-03m.dat,cw,2opt,316.762,SI,2.836
E016-03m.dat,cw,"relocate,swap",286.347,SI,3.016
E016-03m.dat,cw,"relocate,2opt",286.347,SI,3.645
E016-03m.dat,cw,"swap,2opt",326.284,SI,2.975
E016-03m.dat,cw,"relocate,swap,2opt",286.347,SI,2.794
E016-03m.dat,ni,,284.419,SI,2.863
E016-03m.dat,ni,relocate,284.419,SI,3.239
E016-03m.dat,ni,swap,284.419,SI,4.727
E016-03m.dat,ni,2opt,284.419,SI,15.305
E016-03m.dat,ni,"relocate,swap",284.419,SI,67.660
E016-03m.dat,ni,"relocate,2opt",284.419,SI,15.806
E016-03m.dat,ni,"swap,2opt",284.419,SI,6.654
E016-03m.dat,ni,"relocate,swap,2opt",284.419,SI,4.410
E021-04m.dat,cw,,448.437,SI,4.307
E021-04m.dat,cw,relocate,416.727,SI,3.449
E021-04m.dat,cw,swap,442.703,SI,3.718
E021-04m.dat,cw,2opt,405.079,SI,3.758
E021-04m.dat,cw,"relocate,swap",416.727,SI,3.604
E021-04m.dat,cw,"relocate,2opt",416.727,SI,3.025
E021-04m.dat,cw,"swap,2opt",442.703,SI,3.113
E021-04m.dat,cw,"relocate,swap,2opt",416.727,SI,2.884
E021-04m.dat,ni,,408.105,SI,2.824
E021-04m.dat,ni,relocate,402.466,SI,2.993
E021-04m.dat,ni,swap,398.889,SI,2.598
E021-04m.dat,ni,2opt,408.105,SI,2.650
E021-04m.dat,ni,"relocate,swap",402.466,SI,2.854
E021-04m.dat,ni,"relocate,2opt",402.466,SI,3.789
E021-04m.dat,ni,"swap,2opt",398.889,SI,4.563
E021-04m.dat,ni,"relocate,swap,2opt",402.466,SI,3.176
E051-05e.dat,cw,,901.617,SI,4.420
E051-05e.dat,cw,relocate,659.725,SI,2.958
E051-05e.dat,cw,swap,861.754,SI,2.773
E051-05e.dat,cw,2opt,861.666,SI,2.786
E051-05e.dat,cw,"relocate,swap",659.725,SI,3.017
E051-05e.dat,cw,"relocate,2opt",659.725,SI,2.929
E051-05e.dat,cw,"swap,2opt",861.754,SI,2.780
E051-05e.dat,cw,"relocate,swap,2opt",659.725,SI,2.858
E051-05e.dat,ni,,686.073,SI,2.687
E051-05e.dat,ni,relocate,669.846,SI,2.764
E051-05e.dat,ni,swap,630.067,SI,2.736
E051-05e.dat,ni,2opt,686.073,SI,2.702
E051-05e.dat,ni,"relocate,swap",669.846,SI,2.646
E051-05e.dat,ni,"relocate,2opt",669.846,SI,2.624
E051-05e.dat,ni,"swap,2opt",630.067,SI,2.588
E051-05e.dat,ni,"relocate,swap,2opt",669.846,SI,2.540
E076-10e.dat,cw,,1479.02,SI,3.390
E076-10e.dat,cw,relocate,984.8,SI,3.496
E076-10e.dat,cw,swap,1358.62,SI,2.895
E076-10e.dat,cw,2opt,1449.87,SI,2.780
E076-10e.dat,cw,"relocate,swap",984.8,SI,3.264
E076-10e.dat,cw,"relocate,2opt",984.8,SI,3.307
E076-10e.dat,cw,"swap,2opt",1358.62,SI,2.864
E076-10e.dat,cw,"relocate,swap,2opt",984.8,SI,3.259
E076-10e.dat,ni,,1185.71,SI,2.558
E076-10e.dat,ni,relocate,996.53,SI,2.555
E076-10e.dat,ni,swap,1071.29,SI,2.558
E076-10e.dat,ni,2opt,1165.68,SI,2.456
E076-10e.dat,ni,"relocate,swap",996.53,SI,2.506
E076-10e.dat,ni,"relocate,2opt",996.53,SI,2.494
E076-10e.dat,ni,"swap,2opt",1071.29,SI,2.576
E076-10e.dat,ni,"relocate,swap,2opt",996.53,SI,2.491
